"","r","med4"
"78",24.0625,0.6442816312127
"79",24.375,0.643657848555636
"80",24.6875,0.643118091464282
"81",25,0.642665862985875
"82",25.3125,0.642290265853265
"83",25.625,0.641990260936481
"84",25.9375,0.641776161334835
"85",26.25,0.641633940131706
"86",26.5625,0.641562177213155
"87",26.875,0.641569829374809
"88",27.1875,0.641647963153283
"89",27.5,0.641792665455554
"90",27.8125,0.642009804156178
"91",28.125,0.642297283914783
"92",28.4375,0.642648136877427
"93",28.75,0.643065166534285
"94",29.0625,0.64355307987237
"95",29.375,0.644101861882456
"96",29.6875,0.644711255089645
"97",30,0.64539274016341
"98",30.3125,0.646133238608542
"99",30.625,0.646932273614332
"100",30.9375,0.647799498732744
"101",31.25,0.648727316901315
"102",31.5625,0.649712562023685
"103",31.875,0.650761772617492
"104",32.1875,0.651874049411725
"105",32.5,0.653043088134336
"106",32.8125,0.654272271357059
"107",33.125,0.655567337964207
"108",33.4375,0.656918828195832
"109",33.75,0.658326947157762
"110",34.0625,0.659803944583683
"111",34.375,0.661337228704678
"112",34.6875,0.662926804324202
"113",35,0.664582331434207
"114",35.3125,0.666297034625908
"115",35.625,0.668067978654494
"116",35.9375,0.66990148363339
"117",36.25,0.671797116445266
"118",36.5625,0.673748853062956
"119",36.875,0.675759755067238
"120",37.1875,0.677835330901568
"121",37.5,0.679966669850883
"122",37.8125,0.682153761708488
"123",38.125,0.68440743439529
"124",38.4375,0.686716214491516
"125",38.75,0.689079912021935
"126",39.0625,0.691506052780019
"127",39.375,0.693988804391714
"128",39.6875,0.696525260388933
"129",40,0.699119698071914
"130",40.3125,0.701771319254053
"131",40.625,0.704474873151256
"132",40.9375,0.707231812902388
"133",41.25,0.710045251447607
"134",41.5625,0.712908186955924
"135",41.875,0.715819857849266
"136",42.1875,0.718785751502304
"137",42.5,0.721797972579831
"138",42.8125,0.724855468354625
"139",43.125,0.72796064642512
"140",43.4375,0.731109342509529
"141",43.75,0.734298925538841
"142",44.0625,0.737529417782445
"143",44.375,0.740798717176557
"144",44.6875,0.744103467972261
"145",45,0.74744214302652
"146",45.3125,0.750812760585135
"147",45.625,0.754212225469931
"148",45.9375,0.757638405217462
"149",46.25,0.761087322789168
"150",46.5625,0.764557179742508
"151",46.875,0.7680454420378
"152",47.1875,0.771546460511708
"153",47.5,0.775058235655511
"154",47.8125,0.778578705299543
"155",48.125,0.782101646496344
"156",48.4375,0.785622527547443
"157",48.75,0.789140951205977
"158",49.0625,0.792651319509956
"159",49.375,0.796144125849115
"160",49.6875,0.799621908080695
"161",50,0.803080607075403
"162",50.3125,0.806504343664657
"163",50.625,0.809898833910513
"164",50.9375,0.81325998837062
"165",51.25,0.816572861515199
"166",51.5625,0.819837964542031
"167",51.875,0.823054508163885
"168",52.1875,0.826209879372212
"169",52.5,0.829297050025947
"170",52.8125,0.832319874823462
"171",53.125,0.835269456229454
"172",53.4375,0.838129111974844
"173",53.75,0.840908619659779
"174",54.0625,0.843603173396618
"175",54.375,0.846187439379352
"176",54.6875,0.848675483291005
"177",55,0.851063760672
"178",55.3125,0.853331675943308
"179",55.625,0.855483799782367
"180",55.9375,0.857523003311839
"181",56.25,0.859434654266891
"182",56.5625,0.861212465102902
"183",56.875,0.862866632234073
"184",57.1875,0.864389432587516
"185",57.5,0.865762885883136
"186",57.8125,0.867005091797596
"187",58.125,0.868114377260297
"188",58.4375,0.869065172667312
"189",58.75,0.869879302688937
"190",59.0625,0.870557761190752
"191",59.375,0.87108281465453
"192",59.6875,0.871464666985805
"193",60,0.871712049675241
"194",60.3125,0.871815179696731
"195",60.625,0.871772726378447
"196",60.9375,0.871600852396531
"197",61.25,0.871297423043933
"198",61.5625,0.870850162280277
"199",61.875,0.870281979235069
"200",62.1875,0.869596134080386
"201",62.5,0.868775180119284
"202",62.8125,0.867843017230164
"203",63.125,0.866805213178427
"204",63.4375,0.865651676724346
"205",63.75,0.864394894619197
"206",64.0625,0.863046203013534
"207",64.375,0.861601873621403
"208",64.6875,0.860064183306152
"209",65,0.858449131157008
"210",65.3125,0.856758254414804
"211",65.625,0.854984996613206
"212",65.9375,0.853148892527509
"213",66.25,0.851254333043262
"214",66.5625,0.84929129768068
"215",66.875,0.847277853224657
"216",67.1875,0.845219338294538
"217",67.5,0.843110273640355
"218",67.8125,0.840959691753785
"219",68.125,0.838775964768886
"220",68.4375,0.836557201981196
"221",68.75,0.834304821384119
"222",69.0625,0.832029446497251
"223",69.375,0.829731993048692
"224",69.6875,0.827407500952179
"225",70,0.825068253178005
"226",70.3125,0.822716382792027
"227",70.625,0.820344546519938
"228",70.9375,0.817963297732299
"229",71.25,0.815575193663185
"230",71.5625,0.813175422428923
"231",71.875,0.810768430138133
"232",72.1875,0.808358648741465
"233",72.5,0.805943419363176
"234",72.8125,0.803521913526638
"235",73.125,0.801100221263225
"236",73.4375,0.798677608872188
"237",73.75,0.796248574726804
"238",74.0625,0.793820773586434
"239",74.375,0.791394401999314
"240",74.6875,0.788962349026198
"241",75,0.786531181282287
"242",75.3125,0.784101759312084
"243",75.625,0.781668982437789
"244",75.9375,0.779235045018576
"245",76.25,0.776802662594995
"246",76.5625,0.77436870233953
"247",76.875,0.771931316479734
"248",77.1875,0.76949505050913
"249",77.5,0.767058711425537
"250",77.8125,0.764616706559385
"251",78.125,0.762175369933838
"252",78.4375,0.759734531476438
"253",78.75,0.757287778454296
"254",79.0625,0.754840545356751
"255",79.375,0.752393607347032
"256",79.6875,0.749942655268938
"257",80,0.747489543271093
"258",80.3125,0.745036861627987
"259",80.625,0.742582293100462
"260",80.9375,0.740124489095872
"261",81.25,0.737667659462094
"262",81.5625,0.735211288806648
"263",81.875,0.732751311950227
"264",82.1875,0.73029328030067
"265",82.5,0.727837508422095
"266",82.8125,0.725379910491993
"267",83.125,0.722924921773289
"268",83.4375,0.720473664054251
"269",83.75,0.718023852610267
"270",84.0625,0.715577246607129
"271",84.375,0.713136124627064
"272",84.6875,0.710699643674829
"273",85,0.708267515466868
"274",85.3125,0.705842775049683
"275",85.625,0.703425621774211
"276",85.9375,0.701014372584271
"277",86.25,0.69861240652338
"278",86.5625,0.696220216076335
"279",86.875,0.693836374429367
"280",87.1875,0.691463181478547
"281",87.5,0.689101387441835
"282",87.8125,0.686750371728116
"283",88.125,0.684410993466365
"284",88.4375,0.682084224695358
"285",88.75,0.679769868871091
"286",89.0625,0.677467848831112
"287",89.375,0.675179077068352
"288",89.6875,0.672903489526668
"289",90,0.670640398155625
"290",90.3125,0.668390492267329
"291",90.625,0.666153560293494
"292",90.9375,0.663928735652036
"293",91.25,0.661716131327289
"294",91.5625,0.659515399749148
"295",91.875,0.657325564083198
"296",92.1875,0.655146076228609
"297",92.5,0.652976523575874
"298",92.8125,0.6508157932894
"299",93.125,0.648662586609721
"300",93.4375,0.64651656544067
"301",93.75,0.644376605205236
"302",94.0625,0.642240325677859
"303",94.375,0.640107743504476
"304",94.6875,0.637977649174455
"305",95,0.635847039159707
"306",95.3125,0.633715685284397
"307",95.625,0.631582553410193
"308",95.9375,0.629444639031766
"309",96.25,0.627300634550643
"310",96.5625,0.625150170924026
"311",96.875,0.622990619216893
"312",97.1875,0.620818961051622
"313",97.5,0.618635933046093
"314",97.8125,0.61643971549235
"315",98.125,0.614224882454832
"316",98.4375,0.611993738053821
"317",98.75,0.609744791030629
"318",99.0625,0.607472306398978
"319",99.375,0.6051778143882
"320",99.6875,0.60286084052304
"321",100,0.600516707469714
"322",100.3125,0.598144591923437
"323",100.625,0.595745742645525
"324",100.9375,0.593316966670034
"325",101.25,0.590854514057768
"326",101.5625,0.588361686814711
"327",101.875,0.585837116428172
"328",102.1875,0.583273739101636
"329",102.5,0.580677124883785
"330",102.8125,0.578046558514979
"331",103.125,0.575375693670821
"332",103.4375,0.572668266435118
"333",103.75,0.569925259019972
"334",104.0625,0.56714245104701
"335",104.375,0.564320391028258
"336",104.6875,0.561462212870044
"337",105,0.558565912144752
"338",105.3125,0.555628955401655
"339",105.625,0.552656528849172
"340",105.9375,0.549648765329264
"341",106.25,0.546600470246597
"342",106.5625,0.543518607736981
"343",106.875,0.54040398567796
"344",107.1875,0.537253112953559
"345",107.5,0.534070654692388
"346",107.8125,0.53085902373494
"347",108.125,0.527617031974661
"348",108.4375,0.524346866061303
"349",108.75,0.521052388344099
"350",109.0625,0.517734288407149
"351",109.375,0.514393233691806
"352",109.6875,0.511033935006307
"353",110,0.507658374908526
"354",110.3125,0.504266906752218
