,r
300,91.13002620088042
301,91.43480889720443
302,91.73959159352844
303,92.04437428985247
304,92.34915698617648
305,92.65393968250049
306,92.9587223788245
307,93.26350507514852
308,93.56828777147254
309,93.87307046779655
310,94.17785316412056
311,94.48263586044459
312,94.7874185567686
313,95.09220125309261
314,95.39698394941662
315,95.70176664574063
316,96.00654934206466
317,96.31133203838867
318,96.61611473471268
319,96.9208974310367
320,97.22568012736072
321,97.53046282368473
322,97.83524552000874
323,98.14002821633275
324,98.44481091265678
325,98.74959360898079
326,99.0543763053048
327,99.35915900162883
328,99.66394169795284
329,99.96872439427685
330,100.27350709060086
331,100.57828978692487
332,100.8830724832489
333,101.1878551795729
334,101.49263787589692
335,101.79742057222094
336,102.10220326854495
337,102.40698596486897
338,102.71176866119298
339,103.01655135751699
340,103.32133405384101
341,103.62611675016502
342,103.93089944648904
343,104.23568214281306
344,104.54046483913707
345,104.84524753546108
346,105.1500302317851
347,105.4548129281091
348,105.75959562443313
349,106.06437832075714
350,106.36916101708115
351,106.67394371340518
352,106.97872640972919
353,107.2835091060532
354,107.58829180237721
355,107.89307449870122
356,108.19785719502525
357,108.50263989134926
358,108.80742258767327
359,109.1122052839973
360,109.41698798032131
361,109.72177067664532
362,110.02655337296933
363,110.33133606929334
364,110.63611876561737
365,110.94090146194138
366,111.24568415826539
367,111.55046685458942
368,111.85524955091343
369,112.16003224723744
370,112.46481494356145
371,112.76959763988546
372,113.07438033620949
373,113.3791630325335
374,113.68394572885751
375,113.98872842518153
376,114.29351112150555
377,114.59829381782956
378,114.90307651415357
379,115.20785921047758
380,115.5126419068016
381,115.81742460312562
382,116.12220729944963
383,116.42698999577365
384,116.73177269209766
385,117.03655538842168
386,117.34133808474569
387,117.6461207810697
388,117.95090347739372
389,118.25568617371773
390,118.56046887004175
391,118.86525156636577
392,119.17003426268978
393,119.4748169590138
394,119.7795996553378
395,120.08438235166182
396,120.38916504798584
397,120.69394774430985
398,120.99873044063386
399,121.30351313695789
400,121.6082958332819
401,121.91307852960591
402,122.21786122592992
403,122.52264392225393
404,122.82742661857796
405,123.13220931490197
406,123.43699201122598
407,123.74177470755001
408,124.04655740387402
409,124.35134010019803
410,124.65612279652204
411,124.96090549284605
412,125.26568818917008
413,125.57047088549409
414,125.8752535818181
415,126.18003627814213
416,126.48481897446614
417,126.78960167079015
418,127.09438436711416
419,127.39916706343817
420,127.7039497597622
421,128.0087324560862
422,128.31351515241022
423,128.61829784873424
424,128.92308054505824
425,129.22786324138227
426,129.5326459377063
427,129.8374286340303
428,130.14221133035431
429,130.44699402667834
430,130.75177672300234
431,131.05655941932636
432,131.36134211565036
433,131.66612481197438
434,131.9709075082984
435,132.2756902046224
436,132.58047290094643
437,132.88525559727043
438,133.19003829359445
439,133.49482098991848
440,133.79960368624248
441,134.1043863825665
442,134.40916907889053
443,134.71395177521453
444,135.01873447153855
445,135.32351716786258
446,135.62829986418657
447,135.9330825605106
448,136.2378652568346
449,136.54264795315862
450,136.84743064948265
451,137.15221334580664
452,137.45699604213067
453,137.76177873845467
454,138.0665614347787
455,138.37134413110272
456,138.6761268274267
457,138.98090952375074
458,139.28569222007476
459,139.59047491639876
460,139.8952576127228
461,140.2000403090468
462,140.5048230053708
463,140.80960570169484
464,141.11438839801883
465,141.41917109434286
466,141.72395379066688
467,142.02873648699088
468,142.3335191833149
469,142.6383018796389
470,142.94308457596293
471,143.24786727228695
472,143.55264996861095
473,143.85743266493498
474,144.162215361259
475,144.466998057583
476,144.77178075390702
477,145.07656345023105
478,145.38134614655505
479,145.68612884287907
480,145.99091153920307
481,146.2956942355271
482,146.60047693185112
483,146.90525962817512
484,147.21004232449914
485,147.51482502082314
486,147.81960771714716
487,148.1243904134712
488,148.4291731097952
489,148.7339558061192
490,149.03873850244324
491,149.34352119876723
492,149.64830389509126
493,149.95308659141529
494,150.25786928773928
495,150.5626519840633
496,150.8674346803873
497,151.17221737671133
498,151.47700007303536
499,151.78178276935935
500,152.08656546568338
501,152.39134816200738
502,152.6961308583314
503,153.00091355465543
504,153.30569625097942
505,153.61047894730345
506,153.91526164362747
507,154.22004433995147
508,154.5248270362755
509,154.82960973259952
510,155.13439242892352
511,155.43917512524754
512,155.74395782157154
