,type_ off  vs. type_ off ,type_ off  vs. type_ on ,type_ on  vs. type_ off ,type_ on  vs. type_ on 
112,0.14820114401930934,1.8356536550668838,1.8781810503043581,0.14221691949496928
113,0.1559237835351652,1.8306433875443875,1.87168673198812,0.14565003948042
114,0.16382538492036955,1.8256113831276684,1.8651526619841743,0.14894182452811613
115,0.17191390182930666,1.8205568811354378,1.8585773363492493,0.1520854891079458
116,0.18017134079431768,1.8154872444556984,1.8519708840077302,0.15508306404715663
117,0.1886054383173976,1.8104003753611502,1.845330349644689,0.15793101857234954
118,0.19719912474985388,1.805301387713334,1.8386633045842469,0.16063548846667913
119,0.2059600381766079,1.8001865924692637,1.8319651667187746,0.163196522752438
120,0.21487213463410682,1.7950589216337054,1.8252411330294598,0.16562397433738796
121,0.22394297382807746,1.7899129599915016,1.8184849781006025,0.1679216118161797
122,0.23315751254863745,1.7847496616254634,1.8116998671616105,0.17010244556934448
123,0.24252314171938752,1.7795618780498088,1.8048780779206732,0.17217391855841457
124,0.25202567186151487,1.7743489122407976,1.7980212230516543,0.17415150113560426
125,0.26167212306831616,1.7691020053510513,1.7911203876483521,0.1760460849273285
126,0.2714489054594583,1.7638192406190731,1.7841762186697516,0.17787479845787219
127,0.28136236416268334,1.7584904990280597,1.7771790573208006,0.17965158206285078
128,0.2913991717988292,1.7531131590443485,1.7701292459424025,0.1813943468629606
129,0.3015646126903127,1.7476761115368216,1.7630169534042466,0.18311951534570728
130,0.3118452341927608,1.7421766057645298,1.7558429154660924,0.18484485937423512
131,0.3222448234605096,1.7366030194256632,1.7485977920772275,0.1865885615870634
132,0.3327494036581558,1.730953082985524,1.7412834055070336,0.18836731347548175
133,0.34336081948428593,1.7252152243794796,1.7338916200755896,0.1902001993506354
134,0.3540642053065548,1.719388270373296,1.7264259851473867,0.1921019009180539
135,0.3648590598235395,1.7134613187433558,1.7188802781951937,0.1940914416081075
136,0.37572934754520126,1.707434875895009,1.7112603100844086,0.1961806155792117
137,0.38667191599248774,1.701299343204055,1.7035624091768165,0.19838737001274676
138,0.3976694113260228,1.6950574146615747,1.6957950178393193,0.20071983825406498
139,0.4087158800566844,1.6887013891448817,1.6879575066504757,0.20319389629665469
140,0.4197926767543608,1.6822365311640337,1.6800610970723961,0.20581341430245612
141,0.4308911014717416,1.6756575279893346,1.6721084701055948,0.20859131632107186
142,0.4419914474209709,1.66897242135367,1.6641135022316842,0.21152685333109708
143,0.4530825579783154,1.6621786091995552,1.6560821636097582,0.2146293371890849
144,0.4641441036478339,1.6552868959808855,1.6480305610094896,0.21789336398092257
145,0.4751629985260711,1.6482974863357318,1.639967601530827,0.221324297616428
146,0.48611891195054835,1.6412236833564715,1.631910900362502,0.22491242024165206
147,0.49699756038423043,1.6340683309628317,1.623871615789625,0.22865921808132494
148,0.5077793578596619,1.6268467159918203,1.6158678976109857,0.23255139753725212
149,0.5184496889252245,1.619563885622308,1.607912181480056,0.23658708140843546
150,0.5289904954386213,1.6122363779905287,1.6000220148876871,0.24075050526742497
151,0.5393877302321743,1.6048707725373859,1.592209942534938,0.24503736527414724
152,0.5496255803838317,1.5974839772426903,1.5844917338404534,0.24943080963099062
153,0.559691388408015,1.5900832691341784,1.576878810036227,0.25392538143796134
154,0.5695721379280447,1.5826849917477068,1.569384089173654,0.25850466413263884
155,0.5792571977593021,1.5752962201453107,1.5620167180034394,0.26316351772842894
156,0.5887366559118318,1.5679318548087346,1.5547859258554202,0.2678874518367149
157,0.5980022815218028,1.5605979134363253,1.5476976502150959,0.2726731374980352
158,0.6070472930415901,1.55330713199244,1.5407569309952185,0.2775092964502634
159,0.6158659365803654,1.546063758940484,1.5339658774015676,0.28239575512423204
160,0.6244543134814893,1.538877877687008,1.5273252259736163,0.2873253827893163
161,0.6328089392913289,1.531751471798367,1.5208330033341761,0.2923022096140645
162,0.6409283283810961,1.5246917566118359,1.514485908839643,0.2973237427522848
163,0.6488108293441558,1.5176982075228198,1.5082779921989946,0.3023988704093198
164,0.6564567593251041,1.510775227708916,1.502202505276787,0.3075297501117286
165,0.6638657183877449,1.5039197922792382,1.4962499366952537,0.3127303462878368
166,0.6710391709817947,1.497133783862242,1.4904109134140573,0.3180070271200096
167,0.6779773366893358,1.49041190444047,1.4846730102635333,0.3233786244542116
168,0.684682217801247,1.4837539845056575,1.4790251802581362,0.32885489540795976
169,0.691154061169419,1.4771528479865776,1.4734528739052866,0.3344589504525141
170,0.6973949176183429,1.470606849719237,1.4679443495947744,0.3402028276429284
171,0.7034045826871997,1.4641074396050644,1.4624837807916042,0.34611301586458765
172,0.7091848365272078,1.4576521145593215,1.4570596564517901,0.3522025427020428
173,0.7147347104558988,1.451231506579305,1.4516557086873076,0.3585001394800032
174,0.7200555891584992,1.444842856795715,1.4462614693490576,0.36501844477269485
175,0.7251456215365735,1.438476538856631,1.440861002871734,0.37178713363472987
176,0.7300058677899912,1.432130081554327,1.435445548696619,0.3788170722336657
177,0.7346336791318554,1.42579412513856,1.4300001829673077,0.38613748411176596
178,0.7390300411524391,1.4194669417190269,1.4245183550709406,0.3937561415286844
179,0.7431917858749826,1.413139900743996,1.4189867200499622,0.4017003845207291
180,0.7471202229298586,1.4068123683290874,1.413401276804814,0.40997368574779747
181,0.7508121143678699,1.4004768239914505,1.4077507059059382,0.4186000896010236
182,0.7542696020960168,1.3941339652894835,1.4020337404682606,0.42757772509627995
183,0.7574899639056513,1.3877776676214795,1.396241409395765,0.436926006256532
184,0.7604767465295853,1.381410081852168,1.390375221360933,0.4466368786711055
185,0.7632284222270252,1.3750266607860433,1.3844287512186901,0.45672393052450844
186,0.7657505300199907,1.3686310163619408,1.3784061931654255,0.46717233125503765
187,0.7680434570807241,1.3622202498234355,1.3723037393355237,0.47798885435057664
188,0.7701152850423054,1.3557993320180448,1.3661280591340892,0.48915159137289876
189,0.7719690205871664,1.3493669699017121,1.3598779060682962,0.500659790167893
190,0.7736157480343987,1.3429292878906844,1.3535621045279667,0.5124844968346961
191,0.7750617207388377,1.336486442616372,1.347181786589102,0.5246170711230266
192,0.7763213436919261,1.3300454135955742,1.3407475124183286,0.5370219177624389
193,0.7774046044466065,1.323607543286902,1.3342624865174229,0.5496825568288649
194,0.7783293573477457,1.3171802891284576,1.3277384999903088,0.5625575523090326
195,0.7791096139556013,1.3107658197458987,1.3211804092836246,0.5756230886469167
196,0.7797665791713423,1.3043716344062728,1.31460066367032,0.5888330901330016
197,0.7803183325526333,1.298000292009143,1.3080052531173068,0.6021573822879899
198,0.780789079242497,1.2916588642891276,1.3014066678457097,0.6155468261534339
199,0.7812007331863413,1.2853498156881653,1.2948114398961075,0.6289663182197593
200,0.781579893023581,1.279079318793139,1.2882314684563414,0.6423655484495426
201,0.7819517862517914,1.2728492442660797,1.2816731964932742,0.6557063057777911
202,0.7823445598878991,1.2666644264155456,1.2751473204570871,0.6689392208943938
203,0.7827859635564848,1.2605256670025407,1.2686595634664921,0.6820250840092599
204,0.7833046517728844,1.2544360910669572,1.2622188659107214,0.6949176691276768
205,0.7839298783923088,1.2483950203661838,1.2558296443407932,0.7075790228309922
206,0.7846896343815228,1.2424036007275163,1.2494986258250302,0.7199682037198706
207,0.7856135025904967,1.2364593633752015,1.2432284206790905,0.7320507502626129
208,0.7867275926689752,1.230561332222626,1.2370232145232416,0.7437929250244555
209,0.7880605717230994,1.224705066926618,1.2308834363404773,0.7551658008737366
210,0.7896354965569464,1.2188874699893015,1.2248105556080537,0.766144390627929
211,0.7914789013376387,1.2131020956007301,1.218802597032011,0.7767069898145794
212,0.793609756752339,1.2073438719260632,1.212858304906453,0.7868384112013239
213,0.796051369351616,1.2016044650739817,1.2069732432356286,0.7965253768919195
214,0.7988178088630457,1.195877112642358,1.2011435861361033,0.8057629721015573
215,0.8019282637727674,1.19015185168297,1.195362546691328,0.8145469810438786
216,0.8053913652986421,1.1844206278303406,1.1896240326490932,0.8228826283681013
217,0.8092215569121536,1.17867222796406,1.1839191677901968,0.83077479773931
218,0.8134218022439255,1.1728977883097527,1.178240019371141,0.8382381406051373
219,0.8180014674479542,1.167085313691369,1.1725760094511577,0.8452861039542079
220,0.8229579291655552,1.1612256616237753,1.1669178781815444,0.8519415481596637
221,0.8282954401793472,1.155306576982119,1.1612538259870016,0.858225446061943
222,0.8340061535709626,1.1493191811395957,1.1555738288963227,0.864167254873104
223,0.8400894436666113,1.1432514996405774,1.149865401761748,0.8697940413379953
224,0.8465328368223338,1.1370954394352268,1.1441183322588495,0.8751399854112479
225,0.8533312884816743,1.1308398339039363,1.1383200063719614,0.8802365474992819
226,0.86046846421718,1.1244778502163846,1.1324605799631304,0.8851206314837934
227,0.8679355251459979,1.1179996174476077,1.126527856724539,0.8898262530890758
228,0.8757131403978596,1.1113999723456387,1.120512873218112,0.8943910449077954
229,0.8837894012731017,1.1046707696597176,1.1144043631324574,0.898849722972167
230,0.8921428738963146,1.097808849667039,1.1081946956003497,0.9032387661399863
231,0.9007593409659604,1.0908081534367278,1.1018739954071415,0.9075918229650164
232,0.9096161264423764,1.0836677801179235,1.0954363466397965,0.9119425334165043
233,0.9186974463363636,1.0763840428416365,1.088873664854782,0.9163218799841699
234,0.9279801606990244,1.0689584781098218,1.082182059444585,0.9207592347224219
235,0.9374475961816257,1.0613899803979383,1.0753555699256252,0.925281544316644
236,0.9470768082968872,1.0536826295446564,1.0683925709668396,0.9299127756255494
237,0.9568508141179044,1.0458380345929463,1.06128949091596,0.9346747384039645
238,0.9667473827145037,1.0378628569594184,1.0540471428640676,0.9395851657993078
239,0.9767496832904696,1.0297614779363233,1.046664539946072,0.9446599220146286
240,0.9868365657795689,1.0215431143929954,1.039145043373807,0.9499099904949501
241,0.9969916861742031,1.013214901349422,1.0314903770705681,0.955344786020225
242,1.007195193431278,1.004788521583455,1.0237064982658304,0.9609683341710037
243,1.0174314390964794,0.9962737667231849,1.0157978951526168,0.9667834051816233
244,1.0276819509998067,0.9876846308132357,1.0077731061659638,0.9727871566498442
245,1.0379318688307955,0.9790333825280664,0.9996393603135092,0.9789758255147779
246,1.0481640589828722,0.9703361038112799,0.9914076962757447,0.9853400758788097
247,1.058364442451859,0.9616072741765171,0.9830879777102173,0.991870020331657
248,1.068517087500868,0.952864767246117,0.9746935913209354,0.9985504709504511
249,1.0786086124913756,0.944124917702239,0.9662368406717797,1.0053661060805865
250,1.088624082373038,0.9354070191621695,0.9577332317922854,1.0122967703028043
251,1.0985506782993921,0.926728817035405,0.9491972207134711,1.0193226519705536
252,1.108374218796061,0.9181105789375722,0.9406461243551568,1.026419722583997
253,1.1180822916622586,0.9095709341225466,0.932096170854026,1.0335648386299485
254,1.1276612196369284,0.9011306108692375,0.9235661007221638,1.0407313576421726
255,1.137098849294411,0.892808526587465,0.9150734466060049,1.0478941208111492
256,1.1463817829863305,0.884625303764663,0.9066379133419216,1.0550252368123139
257,1.1554980150068,0.8765995051844749,0.8982777963157557,1.0620989360096182
258,1.164434255818502,0.8687510497988004,0.8900132474995667,1.0690874778181707
259,1.1731785981052718,0.8610974851894839,0.8818627299755645,1.0759658911912908
260,1.181717765552614,0.8536574262308997,0.8738462889767392,1.08270793954969
261,1.1900399805769635,0.8464467619353236,0.865981934906343,1.0892907750398335
262,1.1981319784635955,0.8394822326218179,0.8582890428527389,1.0956908880755385
263,1.2059822343280693,0.832777480128738,0.8507845576868789,1.1018887052618704
264,1.2135775948610792,0.8263468636838813,0.8434866420146724,1.107864457811195
265,1.2209070040274739,0.8202012802562181,0.836410604405703,1.1136027467582579
266,1.227957619919791,0.8143522964087969,0.8295729044278831,1.1190882836890264
267,1.2347191563787834,0.8088076880842959,0.8229867181606637,1.1243104343974906
268,1.24117937244269,0.8035759370581658,0.8166663906059386,1.1292588128187335
269,1.2473291201238548,0.7986614652559787,0.8106225705144612,1.1339277984941094
270,1.253157119382368,0.7940695121808697,0.804867176440814,1.1383119956917724
271,1.2586557706000832,0.7898010663314171,0.7994080545081309,1.1424107039620488
272,1.2638151591959623,0.7858581066397489,0.7942544964647729,1.1462232842163813
273,1.2686296551592031,0.7822382609957952,0.7894113981306059,1.1497535480934402
274,1.273091128039531,0.7789403628431671,0.7848853380423697,1.153005096704641
275,1.2771963159812776,0.7759588924987095,0.7806782396695859,1.1559855858759764
276,1.2809392728326732,0.773289771963354,0.7767939896401154,1.1587021178281938
277,1.2843194467805812,0.7709246669853091,0.7732316320402567,1.1611653373275332
278,1.2873334249700077,0.7688569208140802,0.7699924776452955,1.163384959682084
279,1.2899836190014482,0.7670758122493775,0.7670728823796221,1.165373658303185
280,1.2922694163208621,0.7655725139508563,0.7644717749760978,1.16714280364737
281,1.2941963290165033,0.7643344127134887,0.7621830926725375,1.1687061155769756
282,1.2957667023997266,0.7633509709479565,0.7602036354467551,1.1700756684367826
283,1.2969891477120787,0.7626082190979446,0.7585252490784428,1.1712653008303575
284,1.2978689935128813,0.7620944004077689,0.7571429003375292,1.1722869144132013
285,1.2984177953581955,0.7617947411033615,0.7560467096247312,1.1731536572620176
286,1.2986437414894318,0.7616967684807214,0.755230133686149,1.1738765116787049
287,1.2985610165790857,0.7617854520217935,0.7546819563627519,1.1744672924527335
288,1.2981803865791353,0.7620481026831134,0.7543944637563734,1.1749354860266452
289,1.2975181922521069,0.7624699578303649,0.7543555016424806,1.1752911283699956
290,1.2965873361203475,0.7630385945375142,0.7545565325016247,1.1755418283981576
291,1.2954056970686043,0.763740003955565,0.7549848616750182,1.1756956084602808
292,1.2939877230774843,0.7645624822690511,0.7556314760919879,1.1757580228112672
293,1.292352092045451,0.7654932072539837,0.7564835284285334,1.175735053638305
294,1.290514076324334,0.7665216057679837,0.7575318732982599,1.1756302239667116
295,1.2884923271153768,0.7676364086806754,0.7587638800564644,1.1754476410368448
296,1.2863021209293841,0.7688285315498388,0.7601706030378932,1.1751890047507323
297,1.283961214017441,0.7700885461160568,0.7617399701864807,1.1748568762456792
298,1.281484008375393,0.771409148979197,0.7634635486936199,1.1744514993016006
299,1.278886505669777,0.7727829510148785,0.7653301296782856,1.1739743443938937
300,1.2761813444670131,0.7742046449946101,0.7673320780556354,1.1734246916527857
301,1.2733819755343727,0.7756689813036525,0.7694593047532186,1.1728034599580621
302,1.2704984272927933,0.7771727769758893,0.771705218235471,1.1721095451014505
303,1.26754092050655,0.7787129196025881,0.7740610472095242,1.1713438912479999
304,1.2645161215704206,0.7802883846225801,0.7765214390539003,1.1705056346927702
305,1.2614305078749601,0.7818980916764293,0.7790790698043685,1.1695963140059338
306,1.2582867754790068,0.7835431118600058,0.7817299596699486,1.1686159348382437
307,1.2550873498394277,0.7852241939172538,0.784468285494867,1.1675671489850077
308,1.251830533246945,0.7869443466188335,0.7872915033898389,1.1664514247456848
309,1.2485146221513723,0.7887058574174215,0.7901952639299795,1.1652729584207353
310,1.2451333179723065,0.7905134258765194,0.7931784445686826,1.1640352027005991
311,1.2416809554000667,0.7923705153470404,0.7962380613853344,1.1627442116940516
312,1.2381466647362482,0.7942831909617629,0.7993743175448897,1.161405841204052
313,1.2345212296067563,0.7962556753811026,0.8025854088907527,1.1600281755005828
314,1.2307894856002821,0.7982950096846883,0.8058726878890958,1.1586197625083787
315,1.2269393062380018,0.80040572635905,0.8092352746942457,1.1571907324594786
316,1.2229517555529714,0.8025954047477837,0.8126754180139854,1.1557524625383182
317,1.218812644766674,0.8048684265602325,0.8161928487658063,1.15431697938694
318,1.2145000279162137,0.8072324414967373,0.8197903900883711,1.1528984566859917
319,1.2099986769592335,0.8096912303195799,0.8234680269719254,1.1515104999345351
320,1.2052846198905407,0.8122520336570908,0.8272287779833584,1.150169862620665
321,1.2003427492416485,0.8149176121854361,0.8310725001553531,1.148891246761026
322,1.1951482494786507,0.817694325773885,0.8350019864533764,1.1476935756025026
323,1.1896873854585046,0.8205835461876537,0.8390165788211672,1.146592010050461
324,1.1839358462300387,0.8235903083543441,0.8431184003342468,1.1456070364354374
325,1.1778825606491916,0.8267142944689261,0.8473059079102265,1.144753498696762
326,1.1715051917803836,0.8299588180865517,0.8515801095002706,1.144052648462978
327,1.1647966037951254,0.8333216556463402,0.8559382481230097,1.1435181252670634
328,1.1577379665613665,0.8368040711468538,0.8603797959633251,1.1431709747924241
329,1.150327261084788,0.8404018179575253,0.8649005189868115,1.1430226716184162
330,1.1425506870089535,0.8441138706033258,0.8694979854924875,1.1430929440047763
331,1.1344123557963237,0.8479339525969809,0.8741663110851207,1.1433901199631842
332,1.125904922197604,0.8518586155113018,0.878900873332612,1.1439314099389197
333,1.1170393900293578,0.8558796642810563,0.8836940756573796,1.144721058493791
334,1.1078160980374339,0.8599912147878713,0.8885389265027859,1.14577253887434
335,1.0982533690284002,0.8641833843681813,0.8934261833616903,1.1470851972993912
336,1.0883601557591989,0.868447969213056,0.898346438118139,1.1486676173782229
337,1.0781621172616314,0.872773743615712,0.9032890053123573,1.150513637347998
338,1.0676773561342952,0.8771504281401467,0.9082421582286194,1.1526259614116143
339,1.056938421955216,0.8815658968776992,0.9131941061818538,1.1549925960943153
340,1.0459726334235016,0.8860081558360907,0.9181310505079046,1.1576096348780278
341,1.034818500632732,0.8904646952106015,0.9230405533740337,1.160459281855509
342,1.0235121122374238,0.894922262693068,0.9279071296956637,1.1635306306906266
343,1.0120965442228076,0.8993685211321841,0.9327182458458262,1.1668005073510765
344,1.0006156960483783,0.9037894800245903,0.937457231594894,1.1702510181051593
345,0.9891154155276436,0.9081735328498961,0.9421120641541483,1.1738544372890294
346,0.9776459865661974,0.9125064973008143,0.9466654706707026,1.177586322261593
347,0.966253943286389,0.9167780167028675,0.9511065559594427,1.181415591072943
348,0.9549941497734225,0.920974250212458,0.9554180664131774,1.1853121007014424
349,0.9439115905567425,0.9250865348395488,0.9595908143502948,1.1892429035403966
350,0.933063650627569,0.9291018552994169,0.9636081826925196,1.1931733583577762
351,0.9224915372316482,0.9330135824244562,0.9674631913234852,1.1970703306536785
352,0.9122529833553743,0.936809933399688,0.9711404321460135,1.2008961463492853
353,0.9023833570447407,0.9404865327601684,0.9746355191829357,1.2046192222815746
354,0.8929385952935027,0.944033143192438,0.9779347493021575,1.2082004667956048
355,0.8839464694223372,0.9474477392663905,0.9810365830840498,1.2116115108014311
356,0.8754591331872684,0.9507218441722562,0.9839294220101993,1.2148134878703467
357,0.8674954137790444,0.9538557645256718,0.9866146851536315,1.217782704483279
358,0.860101952632745,0.9568429084141437,0.9890831747239734,1.2204820719103242
359,0.8532877606067364,0.9596858011870946,0.9913392467083395,1.2228937290184076
360,0.8470925651236857,0.9623797857861563,0.9933763007776791,1.2249837247404722
361,0.8415151871070439,0.9649294223673898,0.9952014920049671,1.2267408101257433
362,0.8365874028010789,0.9673319852102171,0.9968109273766896,1.2281352601193587
363,0.832297954592119,0.9695938406620547,0.9982143303812231,1.229162803373185
