,type_ off  vs. type_ off ,type_ off  vs. type_ on ,type_ on  vs. type_ off ,type_ on  vs. type_ on 
118,0.20032466397233614,1.835722939067901,1.8357229390679013,0.12741547953080468
119,0.208671228959993,1.8301023118809294,1.8301023118809294,0.12984140591232532
120,0.2171163055219058,1.8244559177547732,1.8244559177547734,0.13220858020691856
121,0.22566363369888676,1.8187781073685638,1.8187781073685638,0.13452483262047887
122,0.23429944180352774,1.8130712340635147,1.8130712340635147,0.13680106631590944
123,0.24302769296501742,1.8073280837948937,1.8073280837948937,0.13904822294387773
124,0.25183619934851686,1.8015493770602584,1.8015493770602586,0.1412788856672
125,0.2607291090677807,1.7957264752239686,1.7957264752239688,0.14350684994787297
126,0.2696956262097877,1.78985889606035,1.7898588960603496,0.14574567512966904
127,0.2787399550019401,1.7839368439829784,1.7839368439829784,0.1480115834900334
128,0.2878524084961643,1.777959150217597,1.7779591502175973,0.15031832695589845
129,0.29703703945011173,1.7719152508114944,1.7719152508114944,0.15268395841653562
130,0.3062849205115873,1.765803870563766,1.765803870563766,0.15512157807407168
131,0.3155996849451173,1.759614174127682,1.759614174127682,0.15765030987148296
132,0.3249727776123681,1.7533453983117164,1.7533453983117164,0.16028171954148837
133,0.3344071079008234,1.746987020943707,1.7469870209437073,0.16303509602325
134,0.34389409894236106,1.7405394164781072,1.7405394164781074,0.16591957993648526
135,0.3534356249503381,1.7339930163309647,1.733993016330965,0.16895360689504385
136,0.3630227205772886,1.7273499267701427,1.7273499267701427,0.17214303800307318
137,0.3726559404955284,1.7206021841644181,1.7206021841644181,0.17550438240845162
138,0.3823256260461392,1.7137541420452507,1.713754142045251,0.1790394650324588
139,0.39203079106573746,1.7068000457427746,1.7068000457427746,0.18276182426476542
140,0.4017608738789875,1.6997468783366587,1.6997468783366587,0.18666866866967421
141,0.4115132240353749,1.6925915821207054,1.6925915821207056,0.19076965797118367
142,0.4212762900611749,1.6853439621033752,1.6853439621033754,0.19505707066497732
143,0.43104575975625625,1.6780039579261246,1.6780039579261246,0.19953603788558957
144,0.44080914533375126,1.6705841487772362,1.6705841487772362,0.2041939488737903
145,0.45056061673440784,1.6630875214148155,1.6630875214148155,0.20903113210096694
146,0.4602869453344794,1.6555291093321503,1.6555291093321503,0.21403054980792588
147,0.46998106543181967,1.647914705207609,1.6479147052076093,0.21918791999877724
148,0.47962932747695525,1.6402612031080415,1.6402612031080415,0.2244826856993458
149,0.4892238261361619,1.6325766648405515,1.6325766648405515,0.22990665133344212
150,0.498750898110724,1.6248790145167353,1.624879014516735,0.23543705731482997
151,0.5082022633977551,1.6171777895676431,1.6171777895676431,0.2410629643279178
152,0.5175646868351699,1.6094909537930895,1.6094909537930895,0.24676103076699862
153,0.5268299888073945,1.6018285512166648,1.6018285512166648,0.2525191097685485
154,0.5359857796200059,1.5942075434691592,1.5942075434691596,0.258315037702396
155,0.5450244028943627,1.5866374485537476,1.586637448553748,0.26413719384106954
156,0.5539346525552825,1.5791332548097072,1.5791332548097072,0.2699662920025523
157,0.5627097126848922,1.5717029809518628,1.5717029809518628,0.2757929659602548
158,0.5713397807992889,1.564358855540059,1.5643588555400592,0.2816022458388025
159,0.5798190591830155,1.5571065951655056,1.5571065951655056,0.2873885429578979
160,0.5881392347970938,1.549955151428225,1.549955151428225,0.29314221810589053
161,0.5962955581292361,1.5429073861810556,1.5429073861810554,0.2988626156021625
162,0.6042811662672355,1.5359687679413088,1.5359687679413088,0.30454591645553525
163,0.6120922574623042,1.5291390389394537,1.5291390389394537,0.31019708499069415
164,0.6197232843293173,1.5224202851404138,1.522420285140414,0.3158180620138659
165,0.6271711993416126,1.515809146715331,1.5158091467153307,0.32141961848913486
