,smallcell vs. smallcell,smallcell vs. largecell,largecell vs. smallcell,largecell vs. largecell
109,1.0194170225676211,1.0390624165282678e-17,1.3501418480923877e-16,0.0
110,1.0194170225676211,1.6150915113540747e-17,2.51348485426121e-16,5.0809703596881874e-17
111,1.0194170225676213,0.0,3.3420874801101674e-16,1.1527189504426991e-17
112,1.0194170225676216,0.0,1.2951564955674044e-16,0.0
113,1.0194170225676216,1.885943759399302e-16,1.9283736859107628e-16,0.0
114,1.0194170225676216,0.0,1.743669261854472e-16,0.0
115,1.0194170225676213,1.7142697830502497e-16,1.914403030178017e-16,9.611498936687471e-18
116,1.0194170225676216,1.0959569981688954e-16,9.712485459926865e-17,0.0
117,1.0194170225676213,4.7483374863988565e-17,1.6792418488813942e-18,0.0
118,1.0194170225676211,5.432924490629821e-17,1.0349837091430858e-16,0.0
119,1.0194170225676211,2.619655370104262e-17,2.836085288400873e-16,1.7500387924764976e-17
120,1.0194170225676213,0.0,1.7829756091396633e-17,0.0
121,1.0194170225676216,0.0,1.8204861629384602e-16,0.0
122,1.0194170225676216,6.191422513307602e-17,1.870972613974189e-16,0.0
123,1.0194170225676216,2.8500164604941635e-17,9.186561888134687e-17,0.0
124,1.0194170225676218,4.071957302838853e-17,2.0429399852427256e-16,9.466107772859265e-17
125,1.0194170225676211,0.0,1.6486516099903821e-16,0.0
126,1.0194170225676213,9.311708759964841e-17,1.7498846014602226e-16,0.0
127,1.0194170225676213,1.5232776570845553e-17,1.9852030283670636e-16,0.0
128,1.0194170225676211,2.5611505127202984e-16,1.4628253341929594e-16,3.990855260604811e-17
129,1.0194170225676216,0.0,2.36569377113757e-16,0.0
130,1.0194170225676216,0.0,1.5688284576986464e-16,3.436625692347084e-17
131,1.0194170225676216,1.7191587413269557e-16,1.841381825122856e-16,0.0
132,1.0194170225676213,4.46082254825842e-17,4.0282001364824587e-16,8.11573477285687e-17
133,1.0194170225676213,0.0,4.550743308291607e-16,1.2963871402808948e-16
134,1.0194170225676216,6.348336506277826e-17,1.5674503960238762e-16,0.0
135,1.0194170225676213,0.0,1.584642509949275e-16,2.440088258063959e-16
136,1.0194170225676213,4.1686928556847805e-16,8.81736044149278e-17,1.6472074369923728e-16
137,1.019417022567621,2.1947772268225128e-16,1.1947601402404125e-16,1.7208221307002714e-16
138,1.0194170225676213,1.5331860094567398e-16,0.0,8.073303576459922e-17
139,1.019417022567621,4.5768688944131906e-17,1.567127243205017e-16,4.963105018660351e-16
140,1.0194170225676213,3.484520751847277e-17,1.4991769192765743e-16,1.0355401502794431e-16
141,1.0194170225676213,5.351264950345023e-17,2.3216637142210425e-16,2.1477202310111112e-16
142,1.0194170225676213,1.8437122483675034e-16,1.940590779798413e-16,1.7372727446939752e-16
143,1.019417022567621,1.9478266335583019e-16,4.3236557196781695e-16,7.677603200305074e-17
144,1.0194170225676213,0.0,1.1294220933509018e-16,1.2847336762947755e-16
145,1.0194170225676211,1.6633424855007724e-16,8.492674102673639e-17,1.9213833398362718e-16
146,1.019417022567621,6.228632434466601e-17,1.9905523069861186e-16,4.0626845106942745e-16
147,1.0194170225676211,0.0,2.54121926412596e-16,1.7390384896668222e-16
148,1.0194170225676218,9.629442158261661e-17,1.655988575338739e-16,2.8865954400874423e-16
149,1.019417022567621,0.0,1.2550002444377017e-16,1.695120689055252e-17
150,1.0194170225676213,2.654214538396941e-16,5.858938248351804e-17,1.5504172045645108e-16
